t0,period,true_t0,true_period,found,radius
0.6792793637417308,0.46720840105013123,0.21952540157092992,0.4,False,2.0442185963415542
1.5604371393534773,4.205988248531066,0.9674910509099716,2.32,False,2.0442185963415542
1.5603356930887968,4.205988248531066,1.848618385082096,4.24,False,2.0442185963415542
1.5604371393534773,4.205988248531066,3.3929150798593852,6.16,False,2.0442185963415542
1.5603356930887968,4.205988248531066,7.813601099230508,8.08,False,2.0442185963415542
1.5603356930887968,4.205988248531066,2.219931710897395,10.0,False,2.0442185963415542
0.7522162691431943,0.8002875359419928,0.3571440605744007,0.4,True,2.7550395147610605
1.5604371393534773,4.205988248531066,0.17703523134758062,2.32,False,2.7550395147610605
1.5603356930887968,4.205988248531066,3.703340667837301,4.24,False,2.7550395147610605
1.5604371393534773,4.205988248531066,0.06390478793591173,6.16,False,2.7550395147610605
1.5603356930887968,4.205988248531066,6.232270797595308,8.08,False,2.7550395147610605
1.5603356930887968,4.205988248531066,1.802696888767692,10.0,False,2.7550395147610605
1.6591819236337892,1.2002500312539066,0.061665136951868954,0.4,False,3.4658604331805662
1.5604371393534773,4.205988248531066,1.8042695925312626,2.32,False,3.4658604331805662
1.5603356930887968,4.205988248531066,2.1791197775962066,4.24,False,3.4658604331805662
1.5604371393534773,4.205988248531066,5.228717015174445,6.16,False,3.4658604331805662
1.5603356930887968,4.205988248531066,1.804191919560594,8.08,False,3.4658604331805662
1.5603356930887968,4.205988248531066,2.9466500268710973,10.0,False,3.4658604331805662
1.0579116882777932,0.8002875359419928,0.2601496966958367,0.4,True,4.176681351600072
1.5604371393534773,4.205988248531066,0.22627795605872766,2.32,False,4.176681351600072
1.5603356930887968,4.205988248531066,2.493674596567643,4.24,False,4.176681351600072
1.5604371393534773,4.205988248531066,0.3001452657842241,6.16,False,4.176681351600072
1.5603356930887968,4.205988248531066,1.6843611418594484,8.08,False,4.176681351600072
1.5603356930887968,4.205988248531066,5.172978838465893,10.0,False,4.176681351600072
1.179613072121945,0.8002875359419928,0.3840069213343674,0.4,True,4.887502270019578
1.5604371393534773,4.205988248531066,2.0186879969751312,2.32,False,4.887502270019578
1.5603356930887968,4.205988248531066,1.3056441991298764,4.24,False,4.887502270019578
1.5604371393534773,4.205988248531066,2.622443888796398,6.16,False,4.887502270019578
1.5603356930887968,4.205988248531066,5.890431037696082,8.08,False,4.887502270019578
1.5603356930887968,4.205988248531066,8.637599855700829,10.0,False,4.887502270019578
1.0556045530390417,0.8002875359419928,0.257657414427334,0.4,True,5.5983231884390845
3.9629648254863463,5.459382422802849,0.6636448662523962,2.32,False,5.5983231884390845
1.5603356930887968,4.205988248531066,3.6416904933224887,4.24,False,5.5983231884390845
1.5604371393534773,4.205988248531066,1.5308223850164164,6.16,False,5.5983231884390845
1.5603356930887968,4.205988248531066,0.31157838152179,8.08,False,5.5983231884390845
1.5603356930887968,4.205988248531066,4.580549482240905,10.0,False,5.5983231884390845
